timestamp,cylinder_number,customer,job_number,grain_screened,ink_color,proof_ink,blade_mfg,cylinder_division,paper_type,ink_type,direct_steam,solvent_type,type_on_cylinder,press_type,press,unit_number,cylinder_size,paper_mill_location,plating_tank,proof_cut,viscosity,caliper,ink_temperature,humidity,roughness,blade_pressure,varnish_pct,press_speed,ink_pct,solvent_pct,ESA_Voltage,ESA_Amperage,wax,hardener,roller_durometer,current_density,anode_space_ratio,chrome_content,class
115,305,61,24,3,1,3,2,1,2,3,2,1,2,3,4,2.0,4,3,3,18,11,10,28,24,11,2,97,51,41,61,0,0,22,8,4,4,20,0,1
114,11,49,245,3,1,3,2,1,2,1,2,1,2,4,2,9.0,2,3,3,22,5,16,41,24,22,12,96,48,37,73,0,0,26,12,8,4,19,0,1
114,222,47,238,3,1,3,2,1,2,3,2,1,2,4,3,9.0,2,3,0,16,5,10,41,19,4,12,90,16,44,63,0,0,22,18,8,4,40,0,1
116,154,44,194,2,1,3,2,1,2,1,2,1,2,4,3,2.0,4,0,0,15,11,10,54,24,11,12,0,58,51,95,13,0,20,6,5,4,33,0,1
114,228,47,228,3,1,3,2,1,2,3,2,1,2,4,3,2.0,2,3,0,15,5,8,53,20,6,10,112,16,37,53,13,0,22,10,8,4,19,0,1
116,300,55,122,2,1,3,2,1,1,1,2,1,2,3,6,2.0,4,1,1,15,11,10,49,19,11,12,0,80,70,52,14,0,22,6,1,4,33,0,1
116,368,55,122,2,1,3,2,1,1,1,2,1,2,3,6,9.0,4,2,1,15,11,3,49,19,11,10,0,80,70,52,14,0,22,15,1,4,33,0,1
117,176,49,245,3,1,3,2,1,2,3,2,3,2,1,0,7.0,2,3,0,15,10,14,1,14,11,34,0,31,64,73,4,0,29,13,8,4,14,0,0
119,133,16,171,3,1,3,2,1,2,3,2,1,2,4,2,2.0,2,3,1,24,8,12,41,19,18,14,70,42,11,9,0,0,29,13,6,4,32,0,1
119,137,16,171,3,1,3,2,1,2,3,2,1,2,4,2,9.0,2,3,0,24,8,3,41,12,11,12,35,42,20,37,0,0,29,13,6,4,31,0,1
116,326,36,119,3,1,3,2,1,2,3,2,1,2,3,4,2.0,4,3,1,15,15,14,16,24,11,20,10,35,31,46,0,0,22,13,6,4,20,0,0
120,349,35,119,3,1,3,2,1,2,3,2,1,2,3,4,7.0,4,3,1,15,15,10,28,14,18,12,6,27,24,74,0,0,26,13,6,4,32,0,0
123,378,30,3,3,1,3,2,1,2,3,2,1,2,3,4,7.0,4,3,1,8,10,10,23,14,10,7,0,20,61,77,0,0,15,13,8,4,0,0,0
120,308,35,119,3,1,3,2,1,2,3,2,1,2,3,4,2.0,4,3,1,15,8,8,41,19,18,2,37,27,23,25,0,0,22,13,6,4,14,0,1
113,32,49,245,1,1,3,2,1,1,1,2,1,1,2,1,9.0,2,3,1,28,10,6,28,31,18,36,0,11,70,52,0,0,22,13,8,4,14,0,0
125,47,38,232,2,1,3,2,1,1,1,2,1,1,2,1,5.0,2,1,1,3,10,3,16,9,22,36,0,27,70,52,0,0,22,10,3,4,0,0,1
125,54,38,232,2,1,3,2,1,1,1,2,1,1,2,1,1.0,2,1,1,3,10,3,35,9,22,36,92,27,57,32,0,0,22,23,3,4,0,0,1
122,220,62,113,3,1,3,2,1,2,3,2,1,2,2,1,5.0,2,1,0,21,3,8,48,8,11,36,14,11,41,20,0,0,22,13,2,4,14,0,1
